timestep,episode,mean_reward
465000,6591,90.1043
465600,6599,77.3400
466200,6606,94.4299
466800,6612,102.5762
467400,6619,88.1995
468000,6627,75.3088
468600,6634,71.6334
469200,6640,104.1542
469800,6649,69.3053
470000,EVAL,68.7747
470400,6656,77.7642
471000,6664,69.1162
471600,6671,74.3673
472200,6678,86.8870
472800,6684,104.3842
473400,6691,79.4477
474000,6698,80.2747
474600,6705,82.4802
475200,6710,82.0468
475800,6717,102.8239
476400,6725,78.9574
477000,6733,76.5035
477600,6740,102.6367
478200,6747,81.6211
478800,6754,87.5604
479400,6760,90.7106
480000,6767,98.4572
480000,EVAL,113.6983
480600,6775,57.4931
481200,6782,76.8094
481800,6790,50.6102
482400,6796,110.1432
483000,6804,95.7298
483600,6811,71.1240
484200,6817,121.3470
484800,6823,63.5452
485400,6832,70.4080
486000,6837,67.2732
486600,6846,83.3410
487200,6854,61.7962
487800,6863,66.9682
488400,6870,99.7233
489000,6879,55.7238
489600,6885,105.7125
490000,EVAL,110.5708
490200,6893,76.6056
490800,6900,86.6326
491400,6907,79.9148
492000,6914,99.9876
492600,6923,55.3860
493200,6930,63.9221
493800,6938,102.4325
494400,6945,93.5983
495000,6952,120.4067
495600,6960,89.8446
496200,6967,78.2778
496800,6974,85.7757
497400,6980,90.5204
498000,6987,79.3201
498600,6995,71.0429
499200,7004,87.5348
499800,7011,103.7354
500000,EVAL,123.9139
500400,7016,100.3514
501000,7023,116.8356
501600,7029,118.2901
502200,7037,88.3015
502800,7044,80.7706
503400,7051,93.5641
504000,7058,94.0987
504600,7065,93.8836
505200,7071,89.8789
505800,7079,100.8212
506400,7087,92.1820
507000,7093,98.1960
507600,7100,84.2122
508200,7108,102.1990
508800,7115,106.9053
509400,7123,78.3219
510000,7130,111.1618
510000,EVAL,111.0111
510600,7138,83.0345
511200,7145,109.2607
511800,7153,80.2956
512400,7159,100.4064
513000,7167,92.5261
513600,7174,80.5946
514200,7181,92.7100
514800,7189,76.6104
515400,7195,89.6389
516000,7202,107.6297
516600,7208,116.9379
517200,7214,81.8713
517800,7221,78.1752
518400,7227,120.8585
519000,7235,103.0944
519600,7241,102.1046
520000,EVAL,113.8742
520200,7247,64.2443
520800,7255,89.1667
521400,7261,102.4605
522000,7267,99.2863
522600,7274,70.8924
523200,7282,62.3460
523800,7287,116.1353
524400,7295,89.4121
525000,7304,71.6210
525600,7312,102.7700
526200,7318,91.9192
526800,7325,74.9896
527400,7331,110.5197
528000,7338,95.6727
528600,7345,94.5525
